"absolute_path","directory_type","git_remote","branch","head_sha","upstream","modified","deleted","staged","untracked","dirty","last_commit_date","last_commit_message","source_size_mb","total_size_mb","node_modules","dot_next","env_file_names","generated_dirs","traced_to_canonical"
"C:/Users/J35U5/Desktop/VS Code/Forge-OS","main worktree","https://github.com/CheekiBreekiJesus/Forge-OS.git","release/jh-gomes-outreach-supabase","0fa25ae13450683040a18409768873133ed854c9","origin/release/jh-gomes-outreach-supabase","3","0","0","6","True","2026-07-08 16:59:18 +0100","fix(leadops): align campaign e2e with workflow UI and hydration-safe dates","41.4","1424.5","True","True",".env.customer.local.example;.env.example;.env.local;.env.local.backup.2026-07-08T11-57-08-475Z;.env.local.backup.2026-07-08T12-07-31-588Z;.env.local.backup.2026-07-08T12-13-44-056Z;.env.local.backup.20260630-112601;.env.test.example","node_modules;.next;test-results","yes"
"C:/Users/J35U5/Desktop/VS Code/Forge-OS-0.2.0-local-demo","git worktree","https://github.com/CheekiBreekiJesus/Forge-OS.git","release/forgeos-0.2.0-local-demo","ad67637769fedc69152a4c3bdde93aa70421ae4c","origin/release/forgeos-0.2.0-local-demo","1","0","0","0","True","2026-07-07 15:49:41 +0100","fix(persistence): restore local IndexedDB startup for demo","6.8","521.6","True","False",".env.customer.local.example;.env.demo.local.example;.env.example;.env.local;.env.test.example","node_modules","yes"
"C:/Users/J35U5/Desktop/VS Code/Forge-OS-auth-activation","git worktree","https://github.com/CheekiBreekiJesus/Forge-OS.git","integration/jh-gomes-auth-activation","4b42cc7224448f290334880bac34f6d1705d42b4","origin/integration/jh-gomes-auth-activation","0","0","0","0","False","2026-07-05 00:53:50 +0100","test(auth): validate Supabase activation path","12.1","501.6","True","False",".env.customer.local.example;.env.example;.env.test.example","node_modules","yes"
"C:/Users/J35U5/Desktop/VS Code/Forge-OS-auth-membership","git worktree","https://github.com/CheekiBreekiJesus/Forge-OS.git","feat/supabase-auth-membership","ee821f97fc6f9241cc400bd96835515a9e981c04","origin/feat/supabase-auth-membership","0","0","0","0","False","2026-07-04 20:37:41 +0100","feat(auth): add Supabase membership enforcement","6","495.5","True","False",".env.customer.local.example;.env.example;.env.test.example","node_modules","yes"
"C:/Users/J35U5/Desktop/VS Code/Forge-OS-codex","git worktree","https://github.com/CheekiBreekiJesus/Forge-OS.git","agent/codex-next-task","bd33f908e00af2c681bb608f8507bfe4173d5e8d","none","0","0","0","0","False","2026-07-01 09:32:40 +0100","fix(customizer): complete simulation mockup workflow","1.6","1.6","False","False",".env.example;.env.test.example","","yes"
"C:/Users/J35U5/Desktop/VS Code/Forge-OS-cup-customizer-integration","git worktree","https://github.com/CheekiBreekiJesus/Forge-OS.git","feat/cup-customizer-integration-ui","db8a19ac74c95d48a6429072b0bc86e0aaad2720","origin/feat/cup-customizer-integration-ui","1","0","0","0","True","2026-07-04 19:10:34 +0100","docs(cups): record preview UX merge into feature branch","5.6","495.1","True","False",".env.customer.local.example;.env.example;.env.test.example","node_modules","yes"
"C:/Users/J35U5/Desktop/VS Code/Forge-OS-cup-customizer-preview-ux","git worktree","https://github.com/CheekiBreekiJesus/Forge-OS.git","fix/cup-customizer-preview-layout","1529a9d9247529c958cdfdddb3e5c387e73d5173","origin/fix/cup-customizer-preview-layout","1","0","0","0","True","2026-07-04 18:24:18 +0100","docs(cups): record preview UX checkpoint","5.6","495.1","True","False",".env.customer.local.example;.env.example;.env.test.example","node_modules","yes"
"C:/Users/J35U5/Desktop/VS Code/Forge-OS-cursor","git worktree","https://github.com/CheekiBreekiJesus/Forge-OS.git","agent/cursor-ui-review","bd33f908e00af2c681bb608f8507bfe4173d5e8d","none","0","0","0","0","False","2026-07-01 09:32:40 +0100","fix(customizer): complete simulation mockup workflow","1.6","1.6","False","False",".env.example;.env.test.example","","yes"
"C:/Users/J35U5/Desktop/VS Code/Forge-OS-cursor-dependency-convergence","git worktree","https://github.com/CheekiBreekiJesus/Forge-OS.git","integration/dependency-security-cursor","bd3f477c1a282bb6ab0a00aaa9f1811a69601390","origin/integration/dependency-security-cursor","0","0","0","0","False","2026-07-05 00:16:17 +0100","docs(security): record dependency cursor convergence results","6.1","518.4","True","False",".env.customer.local.example;.env.example;.env.test.example","node_modules","yes"
"C:/Users/J35U5/Desktop/VS Code/Forge-OS-cursor-feature-convergence","git worktree","https://github.com/CheekiBreekiJesus/Forge-OS.git","integration/jh-gomes-feature-convergence-cursor","601b5b5f2c27262da41cd1552bee276273cda297","origin/integration/jh-gomes-feature-convergence-cursor","0","0","0","0","False","2026-07-04 22:36:54 +0100","docs(qa): record convergence result and align cup acceptance helper","6.2","495.6","True","False",".env.customer.local.example;.env.example;.env.test.example","node_modules","yes"
